Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
4,2856.67,4542,50507,53948,2401,28059,42,2,123015,127851,275928,464415
4,3013.33,4557,46301,51788,2194,27771,41,2,121051,123213,263902,336571
4,2963.33,4545,48769,51757,2048,27789,40,2,120765,124244,273781,311332
4,3070,4568,48774,47160,2135,27802,45,2,121140,127818,260073,302522
4,2940,4051,53533,48873,1851,27751,43,1,119517,122015,265921,304595
4,2930,5253,51798,50747,2090,27788,40,1,120716,127274,273911,348290
4,2750,5336,52916,56212,2817,28381,50,1,126045,266681,272879,326378
4,2950,5343,44901,56313,2593,28181,48,1,124503,126880,268485,331412
